pop,cont_orig,cont_dest,site,treatment,block,plant_ID,sex,longevity,basal_lvs,stem_lvs,total_lvs,status,rep_spd,flwr_num,frt_num,frt_hadena,reproduced,smut,num_smutted_fl,leaf_herb,gen_ENMY,spec_ENMY,sire,dam,sibship,sire.pop,dam.pop,Structure_region
RVVW,NorthAmerica,Europe,CH,FI,CH02,2356,F,2,0.0,64.0,64.0,6.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,91,92,46,5.0,5.0,5.0
SASA,NorthAmerica,NorthAmerica,CA,FI,CA01,2358,M,7,96.0,56.0,152.0,14.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,95,96,48,5.0,5.0,5.0
KBS,NorthAmerica,Europe,CH,CN,CH05,2359,M,3,3.0,28.0,31.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,47,48,24,4.0,4.0,4.0
KIS,Europe,NorthAmerica,VA,CN,VA05,2360,F,7,25.0,184.0,209.0,20.0,7.0,0.0,8.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,49,50,25,2.0,2.0,2.0
WHS,NorthAmerica,NorthAmerica,CA,FI,CA04,2361,M,6,35.0,6.0,41.0,9.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,116,58,4.0,4.0,4.0
PLZ,Europe,Europe,UK,CN,UK07,2362,V,2,13.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,71,72,36,2.0,2.0,2.0
KBS,NorthAmerica,NorthAmerica,CA,CN,CA05,2363,M,6,83.0,32.0,115.0,9.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,48,24,4.0,4.0,4.0
RUZ,Europe,Europe,UK,CN,UK07,2364,F,7,12.0,88.0,100.0,18.0,14.0,0.0,5.0,0.0,2.0,0.0,0.0,10.0,1.0,0.0,89,90,45,1.0,1.0,1.0
MLBS,NorthAmerica,Europe,UK,CN,UK06,2366,V,6,26.0,192.0,218.0,10.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,55,56,28,3.0,3.0,3.0
ROD,Europe,NorthAmerica,CA,FI,CA03,2367,V,5,52.0,9.0,61.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,84,42,1.0,1.0,1.0
PLZ,Europe,NorthAmerica,CA,FI,CA04,2368,F,7,89.0,60.0,149.0,11.0,21.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,71,72,36,2.0,2.0,2.0
