year,census,pop,cont_orig,cont_dest,site,treatment,block,plant_ID,sex,survival,longevity,basal_lvs,stem_lvs,total_lvs,bolt_ht,bolt_num,status,rep_spd,flwr_num,frt_num,frt_hadena,reproduced,smut,num_smutted_fl,leaf_herb,gen_ENMY,spec_ENMY,sire,dam,sibship,sire.pop,dam.pop,Structure_region
2006,2006winter,23S,NorthAmerica,Europe,CH,FI,CH06,1200,F,A,7,15.0,,15.0,,,V,3.0,,,,,H,,1.0,1.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,Europe,UK,CN,UK06,1519,,A,2,8.0,,8.0,,,V,,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,Europe,UK,CN,UK06,2101,F,A,7,27.0,,27.0,,,V,3.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,Europe,UK,CN,UK06,2626,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,Europe,UK,CN,UK06,2535,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,Europe,UK,CN,UK06,438,M,A,7,19.0,,19.0,,,V,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,Europe,UK,FI,UK06,1690,,D,1,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,Europe,UK,FI,UK06,1091,F,A,7,27.0,20.0,47.0,28.0,1.0,B,2.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,Europe,UK,FI,UK06,1230,F,A,6,11.0,,11.0,,,V,3.0,,,,,H,,2.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,Europe,UK,FI,UK06,255,F,A,7,18.0,,18.0,,,V,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,Europe,UK,FI,UK06,321,F,A,7,22.0,,22.0,,,V,3.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,1821,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,2179,M,A,6,21.0,,21.0,,,V,4.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,2507,F,A,7,33.0,,33.0,,,V,4.0,,,,,H,,0.0,1.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,2573,M,A,7,10.0,,10.0,,,V,4.0,,,,,H,,2.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,2502,M,A,7,4.0,,4.0,,,V,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,1539,M,A,7,17.0,,17.0,,,V,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,1623,,A,7,17.0,,17.0,,,V,4.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,1156,F,A,7,3.0,,3.0,,,V,1.0,,,,,H,,3.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,2525,F,A,7,5.0,,5.0,,,V,4.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,2033,F,A,7,13.0,,13.0,,,V,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,1031,M,A,7,11.0,,11.0,,,V,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,1738,F,A,7,10.0,,10.0,,,V,1.0,,,,,H,,2.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,604,F,A,7,22.0,8.0,30.0,15.0,1.0,B,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,347,F,A,7,30.0,,30.0,,,V,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,154,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,1991,F,A,7,7.0,6.0,13.0,32.0,2.0,B,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,686,F,A,7,14.0,,14.0,,,V,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,140,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,728,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,1845,M,A,7,19.0,,19.0,,,V,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,860,F,A,7,24.0,,24.0,,,V,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,960,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,110,M,A,6,19.0,,19.0,,,V,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,2067,,A,7,17.0,,17.0,,,V,4.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,CH,CN,CH06,1753,F,A,5,0.0,,0.0,,3.0,B,3.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,CH,CN,CH06,2619,M,A,4,0.0,,0.0,,5.0,B,3.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,CH,CN,CH06,810,M,A,6,0.0,,0.0,,2.0,B,3.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,CH,CN,CH06,414,F,A,5,0.0,,0.0,,2.0,B,3.0,,,,,H,,3.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,CH,CN,CH06,1677,F,A,7,0.0,,0.0,,4.0,B,3.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,CH,CN,CH06,1607,F,A,6,0.0,,0.0,,2.0,B,3.0,,,,,H,,2.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,CH,CN,CH06,180,F,A,6,0.0,,0.0,,1.0,B,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,CH,FI,CH06,715,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,CH,FI,CH06,1914,,D,2,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,CH,FI,CH06,579,M,A,5,0.0,,0.0,,3.0,B,3.0,,,,,H,,2.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,CH,FI,CH06,339,F,A,7,0.0,,0.0,,3.0,B,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,CH,FI,CH06,1200,F,A,7,0.0,,0.0,,3.0,B,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,UK,CN,UK06,1519,,D,2,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,UK,CN,UK06,2101,F,A,7,0.0,30.0,30.0,84.0,2.0,B,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,UK,CN,UK06,2626,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,UK,CN,UK06,2535,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,UK,CN,UK06,438,M,A,7,0.0,32.0,32.0,69.0,2.0,B,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,UK,FI,UK06,1690,,D,1,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,UK,FI,UK06,1091,F,A,7,0.0,66.0,66.0,118.0,5.0,B,2.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,UK,FI,UK06,1230,F,A,6,0.0,20.0,20.0,34.0,2.0,B,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,UK,FI,UK06,255,F,A,7,0.0,42.0,42.0,81.0,3.0,B,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,Europe,UK,FI,UK06,321,F,A,7,0.0,30.0,30.0,76.0,3.0,B,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,1821,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,2179,M,A,6,29.0,,29.0,,,V,4.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,2507,F,A,7,36.0,,36.0,,,V,4.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,2573,M,A,7,40.0,,40.0,,,V,4.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,2502,M,A,7,14.0,,14.0,,,V,1.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,1539,M,A,7,27.0,,27.0,,,V,1.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,1623,,A,7,32.0,,32.0,,,V,4.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,1156,F,A,7,36.0,,36.0,,,V,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,2525,F,A,7,12.0,,12.0,,,V,4.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,2033,F,A,7,15.0,,15.0,,,V,1.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,1031,M,A,7,18.0,,18.0,,,V,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,1738,F,A,7,9.0,,9.0,,,V,1.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,604,F,A,7,32.0,,32.0,,,V,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,347,F,A,7,25.0,,25.0,,,V,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,154,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,1991,F,A,7,18.0,,18.0,,,V,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,686,F,A,7,10.0,,10.0,,,V,1.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,140,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,728,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,1845,M,A,7,28.0,,28.0,,,V,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,860,F,A,7,34.0,,34.0,,,V,1.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,960,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,110,M,A,6,24.0,,24.0,,,V,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007spring,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,2067,,A,7,26.0,,26.0,,,V,4.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007summer,23S,NorthAmerica,Europe,CH,CN,CH06,1753,F,A,5,0.0,28.0,28.0,69.0,1.0,FR,3.0,0.0,3.0,,N,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007summer,23S,NorthAmerica,Europe,CH,CN,CH06,2619,M,A,4,0.0,132.0,132.0,512.0,6.0,FL,3.0,,,,,S,1.0,1.0,0.0,1.0,1,2,1,3,3,3
2007,2007summer,23S,NorthAmerica,Europe,CH,CN,CH06,810,M,A,6,0.0,82.0,82.0,202.0,3.0,FL,3.0,39.0,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007summer,23S,NorthAmerica,Europe,CH,CN,CH06,414,F,A,5,0.0,42.0,42.0,76.0,1.0,FR,3.0,1.0,6.0,,N,H,,2.0,0.0,0.0,1,2,1,3,3,3
2007,2007summer,23S,NorthAmerica,Europe,CH,CN,CH06,1677,F,A,7,0.0,26.0,26.0,104.0,1.0,FR,3.0,4.0,19.0,,N,H,,0.0,0.0,0.0,1,2,1,3,3,3
2007,2007summer,23S,NorthAmerica,Europe,CH,CN,CH06,1607,F,A,6,0.0,224.0,224.0,247.0,2.0,FR,3.0,2.0,34.0,,N,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007summer,23S,NorthAmerica,Europe,CH,CN,CH06,180,F,A,6,0.0,116.0,116.0,207.0,2.0,FR,3.0,5.0,30.0,,N,H,,1.0,0.0,0.0,1,2,1,3,3,3
2007,2007summer,23S,NorthAmerica,Europe,CH,FI,CH06,715,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2007,2007summer,23S,NorthAmerica,Europe,CH,FI,CH06,1914,,D,2,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2007,2007summer,23S,NorthAmerica,Europe,CH,FI,CH06,579,M,A,5,0.0,130.0,130.0,222.0,3.0,FL,3.0,,,,,S,1.0,0.0,0.0,1.0,1,2,1,3,3,3
