plant_ID,ID,sire,dam,subpop,sire.pop,dam.pop,Structure_region
42,723,55,56,28,3,3,3
783,724,55,56,28,3,3,3
1973,725,55,56,28,3,3,3
1695,726,55,56,28,3,3,3
1267,727,55,56,28,3,3,3
1619,728,55,56,28,3,3,3
2469,729,55,56,28,3,3,3
2563,730,55,56,28,3,3,3
1827,731,55,56,28,3,3,3
351,732,55,56,28,3,3,3
818,733,55,56,28,3,3,3
474,734,55,56,28,3,3,3
1205,735,55,56,28,3,3,3
2001,736,55,56,28,3,3,3
2542,737,55,56,28,3,3,3
1559,738,55,56,28,3,3,3
873,739,55,56,28,3,3,3
559,740,55,56,28,3,3,3
1948,741,55,56,28,3,3,3
473,742,55,56,28,3,3,3
2529,743,55,56,28,3,3,3
481,744,55,56,28,3,3,3
471,745,55,56,28,3,3,3
2102,746,55,56,28,3,3,3
2028,747,55,56,28,3,3,3
1260,748,55,56,28,3,3,3
7,749,55,56,28,3,3,3
494,750,55,56,28,3,3,3
463,751,57,58,29,1,1,1
2006,752,57,58,29,1,1,1
1993,753,57,58,29,1,1,1
2031,754,57,58,29,1,1,1
1425,755,57,58,29,1,1,1
2165,756,57,58,29,1,1,1
1145,757,57,58,29,1,1,1
2131,758,57,58,29,1,1,1
712,759,57,58,29,1,1,1
1234,760,57,58,29,1,1,1
1642,761,57,58,29,1,1,1
2425,762,57,58,29,1,1,1
225,763,57,58,29,1,1,1
2530,764,57,58,29,1,1,1
1428,765,57,58,29,1,1,1
99,766,59,60,30,3,3,3
575,767,59,60,30,3,3,3
1596,768,59,60,30,3,3,3
293,769,59,60,30,3,3,3
405,770,59,60,30,3,3,3
667,771,59,60,30,3,3,3
650,772,59,60,30,3,3,3
1336,773,59,60,30,3,3,3
2167,774,59,60,30,3,3,3
1626,775,59,60,30,3,3,3
727,776,59,60,30,3,3,3
606,777,59,60,30,3,3,3
205,778,59,60,30,3,3,3
1498,779,59,60,30,3,3,3
1534,780,59,60,30,3,3,3
1573,781,59,60,30,3,3,3
2419,782,59,60,30,3,3,3
2580,783,59,60,30,3,3,3
1399,784,59,60,30,3,3,3
1330,785,59,60,30,3,3,3
352,786,59,60,30,3,3,3
1238,787,59,60,30,3,3,3
2242,788,59,60,30,3,3,3
661,789,59,60,30,3,3,3
2584,790,59,60,30,3,3,3
120,791,59,60,30,3,3,3
1676,792,59,60,30,3,3,3
2016,793,59,60,30,3,3,3
1672,794,59,60,30,3,3,3
2143,795,61,62,31,3,3,3
322,796,61,62,31,3,3,3
112,797,61,62,31,3,3,3
542,798,61,62,31,3,3,3
523,799,61,62,31,3,3,3
2273,800,61,62,31,3,3,3
80,801,61,62,31,3,3,3
1067,802,61,62,31,3,3,3
1831,803,61,62,31,3,3,3
1139,804,61,62,31,3,3,3
744,805,61,62,31,3,3,3
1520,806,61,62,31,3,3,3
440,807,61,62,31,3,3,3
734,808,61,62,31,3,3,3
1553,809,61,62,31,3,3,3
1880,810,61,62,31,3,3,3
2040,811,61,62,31,3,3,3
1189,812,61,62,31,3,3,3
633,813,61,62,31,3,3,3
208,814,61,62,31,3,3,3
1713,815,61,62,31,3,3,3
59,816,61,62,31,3,3,3
563,817,61,62,31,3,3,3
1034,818,61,62,31,3,3,3
213,819,61,62,31,3,3,3
1303,820,61,62,31,3,3,3
1708,821,61,62,31,3,3,3
541,822,61,62,31,3,3,3
925,823,61,62,31,3,3,3
300,824,61,62,31,3,3,3
138,825,63,64,32,3,3,3
274,826,63,64,32,3,3,3
2227,827,63,64,32,3,3,3
2032,828,63,64,32,3,3,3
193,829,63,64,32,3,3,3
2056,830,63,64,32,3,3,3
997,831,63,64,32,3,3,3
